"pokemon_id","local_language_id","name"
"n1","1","フシギダネ",""
"n1","2","Bulbasaur",""
"n2","1","フシギソウ",""
"n2","2","Ivysaur",""
"n3","1","フシギバナ",""
"n3","2","Venusaur",""
"n3m","1","メガフシギバナ","メガフシギバナ"
"n3m","2","Venusaur","メガフシギバナ"
"n4","1","ヒトカゲ",""
"n4","2","Charmander",""
"n5","1","リザード",""
"n5","2","Charmeleon",""
"n6","1","リザードン",""
"n6","2","Charizard",""
"n6x","1","メガリザードンX","メガリザードンX"
"n6x","2","Charizard","メガリザードンX"
"n6y","1","メガリザードンY","メガリザードンY"
"n6y","2","Charizard","メガリザードンY"
"n7","1","ゼニガメ",""
"n7","2","Squirtle",""
"n8","1","カメール",""
"n8","2","Wartortle",""
"n9","1","カメックス",""
"n9","2","Blastoise",""
"n9m","1","メガカメックス","メガカメックス"
"n9m","2","Blastoise","メガカメックス"
"n10","1","キャタピー",""
"n10","2","2.9kg",""
"n11","1","トランセル",""
"n11","2","9.9kg",""
"n12","1","バタフリー",""
"n12","2","32.0kg",""
"n13","1","ビードル",""
"n13","2","Weedle",""
"n14","1","コクーン",""
"n14","2","Kakuna",""
"n15","1","スピアー",""
"n15","2","Beedrill",""
"n15m","1","メガスピアー","メガスピアー"
"n15m","2","Beedrill","メガスピアー"
"n16","1","ポッポ",""
"n16","2","Pidgey",""
"n17","1","ピジョン",""
"n17","2","Pidgeotto",""
"n18","1","ピジョット",""
"n18","2","Pidgeot",""
"n18m","1","メガピジョット","メガピジョット"
"n18m","2","Pidgeot","メガピジョット"
"n19","1","コラッタ",""
"n19","2","Rattata",""
"n19a","1","コラッタ","アローラのすがた"
"n19a","2","3.8kg","アローラのすがた"
"n20","1","ラッタ",""
"n20","2","Raticate",""
"n20a","1","ラッタ","アローラのすがた"
"n20a","2","25.5kg","アローラのすがた"
"n21","1","オニスズメ",""
"n21","2","2.0kg",""
"n22","1","オニドリル",""
"n22","2","38.0kg",""
"n23","1","アーボ",""
"n23","2","",""
"n24","1","アーボック",""
"n24","2","",""
"n25","1","ピカチュウ",""
"n25","2","6.0kg",""
"n26","1","ライチュウ",""
"n26","2","Raichu",""
"n26a","1","ライチュウ","アローラのすがた"
"n26a","2","21.0kg","アローラのすがた"
"n27","1","サンド",""
"n27","2","Sandshrew",""
"n27a","1","サンド","アローラのすがた"
"n27a","2","40.0kg","アローラのすがた"
"n28","1","サンドパン",""
"n28","2","Sandslash",""
"n28a","1","サンドパン","アローラのすがた"
"n28a","2","55.0kg","アローラのすがた"
"n29","1","ニドラン♀",""
"n29","2","Nidoran♀",""
"n30","1","ニドリーナ",""
"n30","2","Nidorina",""
"n31","1","ニドクイン",""
"n31","2","Nidoqueen",""
"n32","1","ニドラン♂",""
"n32","2","Nidoran♂",""
"n33","1","ニドリーノ",""
"n33","2","Nidorino",""
"n34","1","ニドキング",""
"n34","2","Nidoking",""
"n35","1","ピッピ",""
"n35","2","7.5kg",""
"n36","1","ピクシー",""
"n36","2","40.0kg",""
"n37","1","ロコン",""
"n37","2","Vulpix",""
"n37a","1","ロコン","アローラのすがた"
"n37a","2","9.9kg","アローラのすがた"
"n38","1","キュウコン",""
"n38","2","Ninetales",""
"n38a","1","キュウコン","アローラのすがた"
"n38a","2","19.9kg","アローラのすがた"
"n39","1","プリン",""
"n39","2","5.5kg",""
"n40","1","プクリン",""
"n40","2","12.0kg",""
"n41","1","ズバット",""
"n41","2","7.5kg",""
"n42","1","ゴルバット",""
"n42","2","55.0kg",""
"n43","1","ナゾノクサ",""
"n43","2","Oddish",""
"n44","1","クサイハナ",""
"n44","2","Gloom",""
"n45","1","ラフレシア",""
"n45","2","Vileplume",""
"n46","1","パラス",""
"n46","2","5.4kg",""
"n47","1","パラセクト",""
"n47","2","29.5kg",""
"n48","1","コンパン",""
"n48","2","Venonat",""
"n49","1","モルフォン",""
"n49","2","Venomoth",""
"n50","1","ディグダ",""
"n50","2","Diglett",""
"n50a","1","ディグダ","アローラのすがた"
"n50a","2","1.0kg","アローラのすがた"
"n51","1","ダグトリオ",""
"n51","2","Dugtrio",""
"n51a","1","ダグトリオ","アローラのすがた"
"n51a","2","66.6kg","アローラのすがた"
"n52","1","ニャース",""
"n52","2","Meowth",""
"n52a","1","ニャース","アローラのすがた"
"n52a","2","4.2kg","アローラのすがた"
"n53","1","ペルシアン",""
"n53","2","Persian",""
"n53a","1","ペルシアン","アローラのすがた"
"n53a","2","33.0kg","アローラのすがた"
"n54","1","コダック",""
"n54","2","19.6kg",""
"n55","1","ゴルダック",""
"n55","2","76.6kg",""
"n56","1","マンキー",""
"n56","2","28.0kg",""
"n57","1","オコリザル",""
"n57","2","32.0kg",""
"n58","1","ガーディ",""
"n58","2","19.0kg",""
"n59","1","ウインディ",""
"n59","2","155.0kg",""
"n60","1","ニョロモ",""
"n60","2","12.4kg",""
"n61","1","ニョロゾ",""
"n61","2","20.0kg",""
"n62","1","ニョロボン",""
"n62","2","54.0kg",""
"n63","1","ケーシィ",""
"n63","2","19.5kg",""
"n64","1","ユンゲラー",""
"n64","2","56.5kg",""
"n65","1","フーディン",""
"n65","2","48.0kg",""
"n65m","1","メガフーディン","メガフーディン"
"n65m","2","48.0kg","メガフーディン"
"n66","1","ワンリキー",""
"n66","2","19.5kg",""
"n67","1","ゴーリキー",""
"n67","2","70.5kg",""
"n68","1","カイリキー",""
